ERROR 2018-11-29 11:19:53,253 <input> 3 出错日志
INFO 2018-11-29 11:55:53,260 basehttp 124 "GET /test/ HTTP/1.1" 200 1300
INFO 2018-11-29 12:08:27,859 basehttp 124 "GET /test/ HTTP/1.1" 200 1300
INFO 2018-11-29 12:17:24,656 basehttp 124 "GET /test/ HTTP/1.1" 200 815
INFO 2018-11-29 12:17:24,966 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2018-11-29 12:17:27,598 basehttp 124 "GET /test/ HTTP/1.1" 200 815
INFO 2018-11-29 12:17:27,792 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2018-11-29 12:17:30,243 basehttp 124 "GET /test/ HTTP/1.1" 200 815
INFO 2018-11-29 12:17:30,376 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2018-11-29 12:17:36,858 basehttp 124 "GET /test/ HTTP/1.1" 200 815
INFO 2018-11-29 12:17:37,177 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2018-11-29 12:18:40,505 basehttp 124 "GET /test/ HTTP/1.1" 200 859
INFO 2018-11-29 12:18:40,798 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2018-11-29 12:18:40,856 basehttp 124 "POST /test2/ HTTP/1.1" 200 24
INFO 2018-11-29 12:18:40,858 basehttp 124 "GET /test2/ HTTP/1.1" 200 23
INFO 2018-11-29 12:19:13,212 basehttp 124 "GET /test/ HTTP/1.1" 200 593
INFO 2018-11-29 12:19:13,526 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2018-11-29 12:19:13,566 basehttp 124 "GET /test2/ HTTP/1.1" 200 23
INFO 2018-11-29 12:19:21,280 basehttp 124 "GET /test/ HTTP/1.1" 200 594
INFO 2018-11-29 12:19:21,545 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2018-11-29 12:19:21,587 basehttp 124 "POST /test2/ HTTP/1.1" 200 24
INFO 2018-11-29 12:19:29,233 basehttp 124 "GET /test/ HTTP/1.1" 200 859
INFO 2018-11-29 12:19:29,496 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2018-11-29 12:19:29,532 basehttp 124 "GET /test2/ HTTP/1.1" 200 23
INFO 2018-11-29 12:19:29,539 basehttp 124 "POST /test2/ HTTP/1.1" 200 24
INFO 2018-11-29 12:19:33,478 basehttp 124 "GET /test/ HTTP/1.1" 200 859
INFO 2018-11-29 12:19:33,820 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2018-11-29 12:19:34,114 basehttp 124 "GET /test2/ HTTP/1.1" 200 23
INFO 2018-11-29 12:19:34,117 basehttp 124 "POST /test2/ HTTP/1.1" 200 24
INFO 2018-11-29 12:22:36,618 basehttp 124 "GET /test/ HTTP/1.1" 200 1428
INFO 2018-11-29 12:22:36,806 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2018-11-29 12:22:36,847 basehttp 124 "GET /test2/ HTTP/1.1" 200 23
INFO 2018-11-29 12:22:36,852 basehttp 124 "POST /test2/ HTTP/1.1" 200 24
INFO 2018-11-29 12:22:42,291 basehttp 124 "GET /test/ HTTP/1.1" 200 1428
INFO 2018-11-29 12:22:42,595 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2018-11-29 12:22:42,815 basehttp 124 "GET /test2/ HTTP/1.1" 200 23
INFO 2018-11-29 12:22:42,822 basehttp 124 "POST /test2/ HTTP/1.1" 200 24
INFO 2018-11-29 12:27:23,147 basehttp 124 "GET /test2/ HTTP/1.1" 200 23
INFO 2018-11-29 12:27:23,151 basehttp 124 "POST /test2/ HTTP/1.1" 200 24
INFO 2018-11-29 12:27:34,272 basehttp 124 "GET /test2/ HTTP/1.1" 200 23
INFO 2018-11-29 12:27:34,273 basehttp 124 "POST /test2/ HTTP/1.1" 200 24
INFO 2018-11-29 12:27:45,707 basehttp 124 "GET /test2/ HTTP/1.1" 200 23
INFO 2018-11-29 12:27:45,835 basehttp 124 "POST /test2/ HTTP/1.1" 200 24
INFO 2018-11-29 12:28:05,798 basehttp 124 "GET /test2/ HTTP/1.1" 200 23
INFO 2018-11-29 12:28:05,806 basehttp 124 "POST /test2/ HTTP/1.1" 200 24
INFO 2018-11-29 12:28:09,786 basehttp 124 "GET /test2/ HTTP/1.1" 200 23
INFO 2018-11-29 12:28:09,795 basehttp 124 "POST /test2/ HTTP/1.1" 200 24
INFO 2018-11-29 12:33:21,249 basehttp 124 "GET /test2/ HTTP/1.1" 200 23
INFO 2018-11-29 12:33:21,250 basehttp 124 "POST /test2/ HTTP/1.1" 200 24
INFO 2018-11-29 12:36:16,833 basehttp 124 "POST /test2/ HTTP/1.1" 200 24
INFO 2018-11-29 12:36:16,836 basehttp 124 "GET /test2/ HTTP/1.1" 200 23
INFO 2018-11-29 12:36:20,488 basehttp 124 "GET /test2/ HTTP/1.1" 200 23
INFO 2018-11-29 12:36:20,494 basehttp 124 "POST /test2/ HTTP/1.1" 200 24
INFO 2018-11-29 12:37:01,776 basehttp 124 "POST /test2/ HTTP/1.1" 200 24
INFO 2018-11-29 12:37:01,782 basehttp 124 "GET /test2/ HTTP/1.1" 200 23
INFO 2018-11-29 12:37:08,322 basehttp 124 "GET /test2/ HTTP/1.1" 200 23
INFO 2018-11-29 12:37:08,324 basehttp 124 "POST /test2/ HTTP/1.1" 200 24
INFO 2018-11-29 12:37:13,404 basehttp 124 "GET /test2/ HTTP/1.1" 200 23
INFO 2018-11-29 12:37:13,407 basehttp 124 "POST /test2/ HTTP/1.1" 200 24
INFO 2018-11-29 12:41:01,619 basehttp 124 "POST /test2/ HTTP/1.1" 200 24
INFO 2018-11-29 12:41:01,624 basehttp 124 "GET /test2/ HTTP/1.1" 200 23
INFO 2018-11-29 12:41:06,467 basehttp 124 "GET /test2/ HTTP/1.1" 200 23
INFO 2018-11-29 12:41:06,471 basehttp 124 "POST /test2/ HTTP/1.1" 200 24
WARNING 2018-11-30 08:08:03,141 base 152 Not Found: /
WARNING 2018-11-30 08:08:03,143 basehttp 124 "GET / HTTP/1.1" 404 2227
INFO 2018-11-30 09:28:41,431 views 28 获取短信验证码: 556617
INFO 2018-11-30 09:28:41,456 basehttp 124 "GET /sms_codes/13600000000/ HTTP/1.1" 200 5176
INFO 2018-11-30 09:28:41,825 basehttp 124 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
WARNING 2018-11-30 09:28:58,831 basehttp 124 "GET /sms_codes/13600000000/ HTTP/1.1" 400 5216
INFO 2018-11-30 09:28:58,996 basehttp 124 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 8192
WARNING 2018-11-30 09:29:12,891 basehttp 124 "GET /sms_codes/13600000000/ HTTP/1.1" 400 5216
INFO 2018-11-30 09:29:18,727 views 28 获取短信验证码: 282152
INFO 2018-11-30 09:29:18,740 basehttp 124 "GET /sms_codes/13600000002/ HTTP/1.1" 200 5176
WARNING 2018-11-30 09:29:22,174 basehttp 124 "GET /sms_codes/13600000002/ HTTP/1.1" 400 5216
INFO 2018-11-30 09:35:37,618 views 28 获取短信验证码: 103688
INFO 2018-11-30 09:35:37,631 basehttp 124 "GET /sms_codes/13600000002/ HTTP/1.1" 200 5176
INFO 2018-11-30 09:35:37,776 basehttp 124 "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1" 304 0
INFO 2018-11-30 09:35:37,785 basehttp 124 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
INFO 2018-11-30 09:35:37,788 basehttp 124 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
INFO 2018-11-30 09:35:37,794 basehttp 124 "GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
INFO 2018-11-30 09:35:37,795 basehttp 124 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
INFO 2018-11-30 09:35:37,802 basehttp 124 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
INFO 2018-11-30 09:35:37,805 basehttp 124 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
INFO 2018-11-30 09:35:37,811 basehttp 124 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
INFO 2018-11-30 09:35:37,818 basehttp 124 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
INFO 2018-11-30 09:35:37,819 basehttp 124 "GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
INFO 2018-11-30 09:35:37,855 basehttp 124 "GET /static/rest_framework/img/grid.png HTTP/1.1" 304 0
INFO 2018-11-30 09:48:11,024 views 31 获取短信验证码: 950100
INFO 2018-11-30 09:48:11,814 basehttp 124 "GET /sms_codes/13609011410/ HTTP/1.1" 200 5176
INFO 2018-11-30 10:06:46,611 views 31 获取短信验证码: 836559
INFO 2018-11-30 10:06:46,613 basehttp 124 "GET /sms_codes/13600000000/ HTTP/1.1" 200 16
WARNING 2018-11-30 10:06:53,176 basehttp 124 "GET /sms_codes/13600000000/ HTTP/1.1" 400 47
WARNING 2018-11-30 10:07:00,826 basehttp 124 "GET /sms_codes/13600000000/ HTTP/1.1" 400 47
WARNING 2018-11-30 10:07:02,301 basehttp 124 "GET /sms_codes/13600000000/ HTTP/1.1" 400 47
INFO 2018-11-30 10:07:23,118 views 31 获取短信验证码: 149155
INFO 2018-11-30 10:07:23,118 basehttp 124 "GET /sms_codes/13600000001/ HTTP/1.1" 200 16
INFO 2018-11-30 10:08:32,491 views 31 获取短信验证码: 457164
INFO 2018-11-30 10:08:32,492 basehttp 124 "GET /sms_codes/13600000001/ HTTP/1.1" 200 16
WARNING 2018-11-30 10:08:33,148 basehttp 124 "GET /sms_codes/13600000001/ HTTP/1.1" 400 47
WARNING 2018-11-30 10:08:44,307 basehttp 124 "GET /sms_codes/13600000001/ HTTP/1.1" 400 47
WARNING 2018-11-30 10:08:46,959 basehttp 124 "GET /sms_codes/13600000001/ HTTP/1.1" 400 47
INFO 2018-11-30 10:10:44,550 views 31 获取短信验证码: 564015
INFO 2018-11-30 10:10:44,551 basehttp 124 "GET /sms_codes/13600000000/ HTTP/1.1" 200 16
INFO 2018-11-30 10:15:00,223 views 31 获取短信验证码: 141232
INFO 2018-11-30 10:15:00,224 basehttp 124 "GET /sms_codes/13600000000/ HTTP/1.1" 200 16
ERROR 2018-11-30 10:19:36,815 exception 80 Invalid HTTP_HOST header: 'api.meiduo.site:8000'. You may need to add 'api.meiduo.site' to ALLOWED_HOSTS.
WARNING 2018-11-30 10:19:36,891 basehttp 124 "GET /sms_codes/13609011410/ HTTP/1.1" 400 70334
ERROR 2018-11-30 10:19:37,136 exception 80 Invalid HTTP_HOST header: 'api.meiduo.site:8000'. You may need to add 'api.meiduo.site' to ALLOWED_HOSTS.
WARNING 2018-11-30 10:19:37,184 basehttp 124 "GET /favicon.ico HTTP/1.1" 400 70014
ERROR 2018-11-30 10:19:37,187 exception 80 Invalid HTTP_HOST header: 'api.meiduo.site:8000'. You may need to add 'api.meiduo.site' to ALLOWED_HOSTS.
WARNING 2018-11-30 10:19:37,235 basehttp 124 "GET /favicon.ico HTTP/1.1" 400 70074
INFO 2018-11-30 10:21:20,575 views 31 获取短信验证码: 357784
INFO 2018-11-30 10:21:20,593 basehttp 124 "GET /sms_codes/13609011410/ HTTP/1.1" 200 5176
INFO 2018-11-30 10:21:20,800 basehttp 124 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2018-11-30 10:21:20,801 basehttp 124 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121200
